logFC	logCPM	PValue	FDR
ENSG00000000003	-0.381578521524151	6.52879618444497	0.000527619153393734	0.0010745939007299
ENSG00000000419	0.075571820320899	4.51858694678702	0.346459756080722	0.404158112346305
ENSG00000000457	0.11788851136444	3.63359273509588	0.193283339208423	0.241314942139396
ENSG00000000460	0.992945793126999	2.29802154117422	5.34341349219939e-08	1.960906515544e-07
ENSG00000000938	-0.675356338392488	2.63572815554516	0.000284772768537703	0.000604709309462424
ENSG00000000971	-0.42592682337495	10.459884743188	0.010655505924734	0.0172428248087544
ENSG00000001036	0.276184703851599	6.11892525047714	0.0241634838537156	0.0365869316128481
ENSG00000001084	-0.729277960103309	6.69610352686894	8.27684751422116e-08	2.95404629138512e-07
ENSG00000001167	0.91155718540663	4.1592525888448	7.48493971174365e-14	6.25065438880431e-13
ENSG00000001460	0.733538522799295	1.60153070238219	1.0192120231786e-07	3.60259105382916e-07
ENSG00000001461	0.408737435852528	2.9123547146029	0.000168663050446161	0.000371848382329395
ENSG00000001497	0.32309043894863	4.9565987110111	1.36342826873803e-05	3.56628583656532e-05
ENSG00000001561	0.507608449837989	3.89893579034626	0.000337696456779251	0.000708973373546354
ENSG00000001617	1.33134859353697	3.74697816491283	4.43492245962898e-35	3.72782173849561e-33
ENSG00000001626	0.00301593907541733	3.51698919930694	0.995745092356088	0.996576126484244
ENSG00000001629	0.344859488707259	4.2689019241824	0.000714385837601159	0.00142197327063955
ENSG00000001630	-0.0692133132628899	3.3233789884504	0.746293258519089	0.785002229942189
ENSG00000001631	0.124824798855507	3.81367887885339	0.210296215796776	0.259933232306219
ENSG00000002016	0.550553923531232	1.89360634492497	1.56669825120134e-06	4.69539622502661e-06
ENSG00000002330	0.0415323891122185	4.93246611359316	0.741761219015765	0.781011519998571
ENSG00000002549	-1.05270102084042	7.18115912464221	7.16795977424657e-11	3.97341326407234e-10
ENSG00000002586	0.0341995195511143	7.25830101641176	0.735796139774511	0.775684285428348
ENSG00000002587	-0.00854738360413652	0.884410847556823	0.97469993151608	0.979382324215799
ENSG00000002726	-2.78486492967494	2.52572173711542	6.06256492370129e-10	2.94182405847151e-09
ENSG00000002746	0.552868669681244	-1.44821745255573	0.0804899782278937	0.109461988989442
ENSG00000002822	0.169600351145114	4.70114226129293	0.160548633886292	0.204528953707268
ENSG00000002834	0.528781796027658	7.52965865134738	1.23606457617429e-08	4.98192462384565e-08
ENSG00000002919	0.30407493928155	3.88905673291117	9.18169444452419e-05	0.000210686251690932
ENSG00000002933	-0.378081765324173	9.65000785900891	0.0157269141631463	0.0246725738676675
ENSG00000003056	-0.118308440632188	4.87356573841678	0.345895108509229	0.403577947192321
ENSG00000003096	-0.0689429864646914	1.84032844355673	0.732674712640621	0.773163952304323
ENSG00000003137	2.07392338629407	1.98940410517715	1.15574598451689e-06	3.52963646341084e-06
ENSG00000003147	0.555309252989101	3.60150415793069	0.018392155638993	0.0285106942118413
ENSG00000003249	1.62143749524058	4.41531140434514	5.07929338667761e-09	2.16970623223835e-08
ENSG00000003393	-0.211342124360445	4.89299468593273	0.0276128798742031	0.0413159610029252
ENSG00000003400	-0.0859288109332986	3.53781323418446	0.277220557131514	0.331933926757749
ENSG00000003402	-0.242297000093158	6.21856592533523	0.000828779922084661	0.00163483860494121
ENSG00000003436	-0.24600845526757	7.9710081317293	0.180886315862849	0.22774431649338
ENSG00000003509	0.0278124826981885	3.22760412615901	0.69623626325254	0.740577015160942
ENSG00000003756	0.319770370036709	5.11205917966702	0.000143713426177066	0.000320217652678442
ENSG00000003987	2.64425440468629	2.04009106907228	1.86895361341111e-15	1.9399156144281e-14
ENSG00000003989	-1.6004107447879	8.39277848056276	1.34271898399337e-12	9.42365551465967e-12
ENSG00000004059	0.187728481405263	6.40821009712481	0.0350048549681384	0.0513398126498453
ENSG00000004139	0.724992675848753	1.23397764352209	1.21295946132512e-06	3.69370489086105e-06
ENSG00000004142	-0.320198661647844	7.55670264735982	1.64209978043957e-05	4.23849775441914e-05
ENSG00000004399	1.09736690608261	5.99463973787585	1.31129532506675e-14	1.21086141207909e-13
ENSG00000004455	-0.388734891917167	6.68161034443319	2.87614901519958e-07	9.57545224605035e-07
